Expiration,Days,Strike,Call Bid,Call Ask,Put Bid,Put Ask
20090207,37,1360,0,0.75,435.7,440.9
20090207,37,1375,0,0.55,451.4,456.4
20090207,37,1380,0,0.75,456.4,461.4
20090207,37,1395,0,0.5,471.4,476.4
20090207,37,1400,0,0.5,475.5,480.7
20090207,37,1420,0,0.75,496.3,501.3
20090207,37,1425,0,0.75,501.3,506.3
20090207,37,1440,0,0.75,516.3,521.3
20090207,37,1450,0,0.5,525.3,530.6
20090207,37,1475,0,0.75,551.2,556.2
20090207,37,1480,0,0.75,556.2,561.2
20090207,37,1500,0,0.5,575.2,580.5
20090207,37,1525,0,0.75,601.1,606.1
20090207,37,1550,0,0.5,625.1,630.9
20090207,37,1575,0,0.75,650.8,656.3
20090207,37,1600,0,0.5,675,680.2
20090207,37,1625,0,0.75,700.7,706.2
20090207,37,1650,0,0.5,724.1,730.1
20090207,37,1680,0,0.75,755.6,761.1
20090207,37,1690,0,0.75,765.8,770.8
20090207,37,1700,0,0.5,775.8,780.8
20090207,37,1735,0,0.75,810.5,816
20090207,37,1750,0,0.75,825.7,830.7
20090207,37,1775,0,0.2,850.7,855.7
20090207,37,1800,0,0.75,875.6,880.6
20090207,37,1850,0,0.75,925.5,930.5
20090207,37,1900,0,0.2,974.7,979.9
20090207,37,1950,0,0.75,1025.1,1030.6
20090207,37,2000,0,0.2,1074.8,1079.8
